EventId,EventTemplate,Occurrences
c648b2ba,syslog-ng version 1.6.7 starting,1
0b606bf7,START: tftp pid = <*> from = <*>,1
481e7ae7,Detected <*> MHz processor.,1
fea49fce,Using <*> MHz HPET timer.,1
e8ca34b7,Using HPET based timekeeping.,1
30c0ff51,Registering secondary module capability,1
1a2ac521,Creating Topspin /dev entries:,1
019bb08c,Warning: we failed to resolve trusted host name dadmin3 dadmin4,1
e652840d,Server listening on :: port 22.,1
9da1d473,error: Bind to port <*> on <*> failed: Address already in use.,1
712394d8,Cannot open file /dev/logsurfer for writing (No such file or directory),1
79af7456,Changing permissions on special file /dev/logsurfer,1
194dd7c1,Started working: <*> available service,1
27f7968c,probe of vesafb0 failed with error <*>,1
d89e5477,time reset +0.182379 s,1
089f18f6,v2.0:USB HID core driver,1
a48a4202,sda1 sda2 sda3 sda4,1
3956ae6c,CentOS-4 (Kernel Module GPG key),1
61ddf178,(supports S0 S4 S5),1
4d12f6fa,assuming drive cache: write through,1
0c06938f,HPET id: <*> base: <*>,1
6a604788,asking for cache data failed,1
19d28e10,scanning scsi channel <*> [virtual] for logical drives,1
2d44d780,Starting ts_fixup: succeeded,1
a6cf29a8,scanning scsi channel <*> [Phy 0] for non-raid devices,1
7f47bdfa,Local APIC address <*>,1
4d20657c,Received SNMP packet(s) from #34#,1
8c112e82,Version 1.0.6 Starting,1
7f146802,LSI Logic MegaRAID driver,1
2188fc64,Interpreter enabled,1
8a9afe3f,"User #29#, coming from #30#, authenticated.",2
12a14051,<*> (Release Date: <*> <*> <*> <*> <*> 2004),2
144d91a4,Mounting <*> filesystems: <*>,2
b42be2bb,Now running on #29#'s privileges.,2
3735007d,"connection from ""#28#""",2
953a8d97,Autodetecting RAID arrays.,2
9b1751bd,succeeded,2
eabf7ffa,"i8042 <*> port at 0x60,0x64 irq <*>",2
1f178134,<*> netfilter hooks,2
cafdce56,not allocating divert_blk for non-ethernet device <*>,2
b3dc57c4,allocating divert_blk for <*>,2
9635dd58,<*> ANSI SCSI revision: <*>,2
ddeaf0c6,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> <*> <*>,2
565e71b1,<*> e1000_probe: Intel(R) PRO/1000 Network Connection,2
99132f5d,kernel time sync <*> <*>,2
ff635931,Using <*> for <*> routing,2
f63012ac,IOAPIC <*> <*> <*>,3
4cf08297,DHCPREQUEST for <*> (<*>) from 00:11:43:e3:ba:c3 via eth1,3
848d9c3a,<*> used by override.,3
a0162353,mounted filesystem with ordered data mode.,3
81d6fba7,"apic_id <*> version 32, address <*> GSI <*>",3
f2f7a33e,connection lost: 'Connection closed.',3
880f1546,Local disconnected: Connection closed.,3
460b8859,LAPIC <*> <*> enabled),4
b427519b,<*> autorun <*>,4
712fbe4d,Processor <*> (supports C1),4
a56daf2e,(C) 2000-2002 Netfilter core team,4
2bd14d50,LAPIC_NMI <*> high edge lint[0x1]),4
a4430800,registered new driver <*>,4
b35e89c2,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,5
182a3d2f,My unqualified host name <*> unknown; sleeping for retry,5
2315719c,<*> startup succeeded,5
c47c3599,Registered protocol family <*>,5
9ee8ca01,L2 cache: 2048K,5
ee83b678,Physical Processor ID: <*>,5
c5862456,"Trace cache: 12K uops, L1 D cache: 16K",5
708630cc,Wait for ready failed before probe !,6
25424cc1,<*> (v001 DELL PE BKC <*> MSFT <*> @ <*>,7
f6ac782c,PCI Interrupt Link <*> (IRQs <*> <*> <*> <*> <*> <*> <*> 12) <*>,8
9eb96b7a,<*> on <*> to 00:11:43:e3:ba:c3 via eth1,8
3bd3ed69,DHCPREQUEST for <*> (<*>) from 00:11:43:e3:ba:c3 via eth1: unknown lease <*>.,9
f3eddcdc,"(PID): from = root, size = <*> class = 0, nrcpts = 1, msgid = <*> relay = #7#@localhost",10
fadd4d28,unable to qualify my own domain name <*> -- using short name,10
f3156356,PCI Interrupt Routing Table <*>,10
bf4096dd,"(PID): to = root, ctladdr = root (0/0), delay = <*> xdelay = 00:00:00, mailer = relay, pri = <*> relay = [<*>] [<*>], dsn = 4.0.0, stat = Deferred: Connection refused by [<*>]",10
f64bd41d,RRD_update <*> <*> illegal attempt to update using time <*> when last update time is <*> (minimum one second step),11
eb02d8a9,"PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>",11
c2ff3b1b,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,15
49f6bba5,removing <*>,16
33666d01,Reading included configuration file: <*> [file = <*> [line = <*>,17
5947eee3,(root) CMD <*> <*>,19
65c834bf,session opened for user root by (uid = 0),19
3be46d32,session closed for user root,24
a0d61889,Warning: we failed to resolve data source name <*>,34
9db750e6,[ib_sm_sweep.c:1482]: No configuration change required,62
eb0cfa2a,[ib_sm_sweep.c:1455]: No topology change,62
1cfe3a76,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,62
ef226888,synchronized to <*> stratum <*>,568
6391d957,data_thread() got not answer from any <*> datasource,819
